site	class	severity	verdict	measurement	bound	fix_id
packages/data/src/drain/submit.ts:62 → packages/data/src/drain/apply.ts:135 (applyResult)	CLASS-1-per-entity-loops-typescript	yellow	REFUTED	Actual prod COUNT (not the pg_stats estimate): pending = 6,417 (tag 3,532 + summary 2,885), not ~6,292. Also done 8,807, failed 148, processing 44, skipped_no_source_text 135,718, skipped_feature_retired 8,871. Last item applied: 2026-04-29 (zero drain throughput for 100 days).	TODAY: 180 sequential PostgREST round-trips per 60-item submit where a set-based version needs 3 (one .in() over the 60 ids, one multi-row upsert, one UPDATE…FROM (VALUES …)) = 60× round-trip reduction. Draining the remaining ~6,292 pending items costs 18,876 sequential round-trips; a full documente	
packages/data/src/pipelines/tags/ai-classifier.ts:241-251	CLASS-1-per-entity-loops-typescript	orange	REFUTED	42,963 rows (exact prod count), 43 pages at pageSize 1000, 945,963 row-visits vs 42,963 for a keyset walk = 22.0x (not 45,357 / 46 pages / 1,081,000 / 24x). Plan is a single Index Scan on entity_tags_type_category_id; deep-page planner cost 23,467 vs 522 at page 0.	TODAY: total row-visits = 46×47/2 × 1,000 = 1,081,000 against 45,357 rows a keyset walk would touch = ~24× amplification, on a 2,567 MB table against 256 MB shared_buffers. AFTER PR3 MULTIPLIES DATA: this is the site that degrades worst under source growth, because industry tags are written per fina	
packages/data/src/pipelines/agency-leadership/index.ts:323-340	CLASS-1-per-entity-loops-typescript	yellow	CONFIRMED	325 calls / mean 87.39 ms / 28.40 s total over 2026-07-17->08-07 for the seq-scan shape (shared with executive/seed.ts ~42 calls); agency-leadership share ≈ 94 calls/run ≈ 8.2 s per weekly run, not 'minutes'. officials = 37,018 rows / 20 MB heap (not 41 MB). The ilike fallback is trigram-index-served at 1.43 ms / 45 buffers, not a second full scan.	TODAY: one full scan of officials (37,018 rows / 41 MB) per confirmed nominee per run, plus a second officials query on the ilike fallback branch and a third on the Wikidata recovery branch at line 578. With only 93 bound nominees the absolute cost is minutes, not hours — this is a shape defect caug	FIX-988
apps/civitics/app/api/cron/platform-snapshot/route.ts:79-113	CLASS-1-per-entity-loops-typescript	yellow	REFUTED	5.02 upserts/firing measured (n_tup_upd 4,277 / seq_scan 851), ~720/day — not 19/firing or 2,736/day. Schedule is GHA */10 with documented 5-15 min real-world drift, not a vercel.json cron. Table state: 19 live / 30 dead, autovacuumed 2026-08-07 08:48.	TODAY: 19 upserts × 144 firings = 2,736 single-row write statements/day against 144 if batched = 19× write-statement amplification, and 2,736 dead tuples/day on a 19-row table. This is the smallest finding in absolute terms and I am reporting it as yellow deliberately: the loop is a Promise.allSettl	
public.rebuild_entity_connection_stats (pg_cron jobid 16 'entity-connection-stats-rebuild', Mon+Wed 11:00 UTC)	CLASS-1-per-entity-loops-live-plpgsql	orange	CONFIRMED	Ceiling fraction confirmed: 5:09:28.357 = 18,568.4 s = 85.96% of 21,600 s. Stage source re-derived: entity_connections 5,079,356 rows / 2,919 MB heap → the UNION ALL aggregates 10,158,712 rows (claim said 2×5,059,971 = 10,119,942 — 0.4% low). Output entity_connection_stats_mv 2,414,351 rows. Retained cron window 2026-06-29 → 2026-08-07.	TODAY: bimodal 2 min / 2-5 h, 50 min from the ceiling, and because all 8 runs report 'succeeded' the FIX-968 canary and check_cron_job_health() see nothing (playbook D4 — a detector covers only what it enumerates; this job is not one of the seven FIX-969 owns). AFTER PR3: entity_connections donation	FIX-982
public.pipeline_runtime_stats_mv <- 8 procedures writing data_sync_log with a single now(),now() terminal row	CLASS-1-per-entity-loops-live-plpgsql	red	REFUTED	Already filed as FIX-979 (open, 🟠 S). Largest lie is contract_flow_rollups_rebuild at 7,125.6 s recorded as 0 s, not the 1,183 s agency-staffing run. 8 of 46 pipelines report zero-span, including treemap_individuals_global_refresh which this submission omits.	POPULATION IS EXACT — 8 of the 24 plpgsql routines that write data_sync_log, enumerated as `prosrc ~* 'now\(\),\s*now\(\)' AND prosrc !~* '''running'''`: backfill_official_donor_brackets, backfill_official_sector_affinity_rollup, backfill_official_small_dollar_rollup, backfill_treemap_individuals_fo	FIX-979
public.find_entity_path, lines with `EXIT WHEN v_total >= v_cap` — reached from POST /api/graph/pathfinder (apps/civitics/app/api/graph/pathfinder/rou	CLASS-1-per-entity-loops-live-plpgsql	yellow	REFUTED	Exposure is ONE over-cap expansion (~302,755 estimated EC rows scanned, 6.05x the 50,000 cap) per call, terminated by `EXIT WHEN v_total >= v_cap` at the end of that iteration - NOT ~1.27M rows and not 4 expansions. Whole RPC is capped at 8 s by the login-role statement_timeout (find_entity_path proconfig is NULL - no ALTER FUNCTION override), behind a 60 req/min/IP graph bucket.	TODAY: the route is `export const dynamic = "force-dynamic"` with createAdminClient() and no auth gate, taking arbitrary from_id/to_id from the POST body with max_hops clamped to 4 — so 4 bidirectional expansions are reachable by any caller who names a hub. The guard is structurally identical to the	
public.{backfill_official_donor_brackets, backfill_official_sector_affinity_rollup, backfill_official_small_dollar_rollup, backfill_treemap_individual	CLASS-1-per-entity-loops-live-plpgsql	orange	REFUTED	agencies = 129 (3 chunks of 50, from_id-keyed) — not 6,793 to_id descents. official_donor_totals = 6,781 / official_sector_affinity_rollup distinct officials = 6,782 (the finding's 6,793/6,836 is close but the population is only ever touched by manual one-shot backfills). Scheduled routines among the six: 1 of 6 (jobid 25, agency-staffing-rollup-refresh, weekly).	TODAY: FIX-974's receipt is on this exact table and index — 33.0 ms/row -> 0.118 ms/row, and the six-arm bulk pass cleared 15,316 recipients in 926 s. A range-chunked single arm over 6,793 recipients projects to ~68 s; these run the ANY-list regime instead. The mechanism is buffer locality, and play	FIX-987
public.refresh_agency_staffing_rollup (pg_cron jobid 25 'agency-staffing-rollup-refresh', Tue 07:30 UTC)	CLASS-1-per-entity-loops-live-plpgsql	yellow	CONFIRMED	Input 3,822,690 entries / 575 MB (financial_relationships_agency_spend_lateral, from pg_class) — the finding's 3,873,982 stands. Output 128 rows / 72 kB (not 24 kB); agencies = 129 (not 127). Correct normalisation is 0.31 ms per input FR row on the worst run, not 9.24 s per output row; median run 9m06.70s.	TODAY: 3,873,982 FR rows plus the entity_connections appointment probe re-read weekly to rewrite 128 rows that mostly did not change. Note the contrast inside the same codebase: refresh_donor_party_rollup_incremental and refresh_financial_entity_totals_incremental both capture MAX(fr.updated_at) int	FIX-987
10 of the 11 EXCEPTION-bearing looping routines in public (all except donor_rollup_rebuild_bulk)	CLASS-1-per-entity-loops-live-plpgsql	orange	REFUTED	11 looping EXCEPTION-bearing routines confirmed; 8 accumulate-and-continue. 8/8 write status='failed' with the failure list; 5/5 that own a watermark or signature refuse to advance it on non-empty v_failures (prosrc lines 267 / 545 / 369 / 563 / 87). Zero of the 8 can silently skip a range across runs.	TODAY the blast radius is bounded by two mitigations the bodies do carry and that I verified: each writes status='failed' with the failure list into data_sync_log, and each declines to advance its watermark/signature on a non-empty v_failures — so a skipped chunk is retried next run rather than lost	
public.refresh_derived_mvs('daily') unit 3 — 'REFRESH MATERIALIZED VIEW public.homepage_stats_mv' (pg_cron jobid 9, 06:00 UTC daily)	CLASS-1-per-entity-loops-live-plpgsql	orange	CONFIRMED	has_unique_idx=false confirmed for homepage_stats_mv (8192 bytes, single row); 7 of 7 sibling daily MVs TRUE. jobid 9 re-derived: 34 retained runs, slowest 03:29:06.623 (2026-08-05, whole 13-unit job), typical 00:05-00:20, 1 failed at 00:00:10.694 = 'job startup timeout' (a failure, not the 'fastest run'). refresh_homepage_stats_mv() prosrc = REFRESH MATERIALIZED VIEW public.homepage_stats_mv (non	TODAY: playbook C4 supplies the receipt for this exact object — refresh_homepage_stats_mv() takes 0.7 s on local and ran 22 minutes against an otherwise-idle prod, a ~1,900x cross-environment miss. Non-CONCURRENTLY means the homepage's MV is unreadable for that whole window, and it lands at 06:00 UT	FIX-986
public.purge_abuse_events (pg_cron jobid 29 'abuse-events-retention', 04:15 UTC daily)	CLASS-1-per-entity-loops-live-plpgsql	yellow	REFUTED	Driving rows = 0. Prod planner picks Index Scan using abuse_events_pkey with an occurred_at Filter and no Sort, so batch cost is O(batch) index entries, not O(N log N). cron jobid 29: 15 runs, max 21.2 s (a failure, not a purge), min 0.027 s.	TODAY: free — the table is empty because the FIX-880 substrate is not writing (ABUSE_EVENT_PEPPER still pending in Vercel), so this is a pure BOUND, not a measurement. WHEN IT STARTS WRITING at rate R/day against 90-day retention, steady state is N = 90R and each daily purge deletes R rows in ceil(R	
public.donor_rollup_rebuild_recipients (arm 2) + public.donor_rollup_rebuild_bulk (same arm) -> consumer packages/data/src/pipelines/tags/rules.ts:110	CLASS-7-EQUAL-BY-COINCIDENCE-PREDICATES	yellow	REFUTED	Prod 2026-08-07: official_donor_totals 6,781 rows; total $6,734,388,454; pac $2,178,943,799; individual $4,470,645,816; UNBUCKETED $84,798,839 = 1.2592% of dollars across 2,361 officials; worst single official $3,293,525. pac_heavy today = 1,496 (not 1,500); under a bucketed denominator 1,555; 59 flip. 151 officials are 100% unbucketed and therefore emit NO pac_heavy tag (pacPct=0 < 0.5) - zero us	TODAY: 59 of 1,500 PAC-Heavy verdicts (3.9%) are decided by the gap, and pac_percentage in the tag metadata is wrong for all 2,359 affected officials; one official publishes 0% PAC against money that is 100% committee-sourced. AFTER PR3: the $200 itemization floor removal (playbook E8, fec-bulk/indi	
public.refresh_spending_totals + public.rebuild_entity_connections_contracts  vs  public.agency_staffing_rebuild_agencies + public.refresh_contract_fl	CLASS-7-EQUAL-BY-COINCIDENCE-PREDICATES	orange	REFUTED	Exactly 54 rows / 1,477,782,700 cents confirmed, and ZERO contract rows with from_type='financial_entity' (so it is grant-only, not 'contract/grant'). Against $1,159,138,592,913.59 of recipient-side grant dollars that is 0.0013%, and the two families already diverge by $488,383,987.82 on grants independent of these rows.	TODAY: $14,777,827 is included by refresh_spending_totals and rebuild_entity_connections_contracts (no from_type predicate) and excluded by agency_staffing_rebuild_agencies and refresh_contract_flow_rollups (from_type='agency'), so platform spend totals and per-agency flow rollups disagree by that a	
public.donor_rollup_bulk_assert_invariants (1 caller) vs public.refresh_official_donor_rollup_incremental -> public.donor_rollup_rebuild_recipients (n	CLASS-7-EQUAL-BY-COINCIDENCE-PREDICATES	orange	REFUTED	MEASURED by grep over all 88 live prod bodies: `grep -n "assert_invariants" prod_fn_defs.txt` returns ONE line, inside donor_rollup_rebuild_bulk. Only 6 of 88 routines contain any RAISE EXCEPTION at all (donor_rollup_rebuild_bulk, promote_candidate_to_elected, promote_evidence_edge, refresh_derived_mvs, refresh_treemap_individuals_global, unpromote_evidence_edge) and only the first is a data-domai	TODAY: $0 - the one slice it probes is clean, and it is the only slice anyone can prove clean. The cost is that the bulk regime refuses loudly while the nightly trickle regime, which is what FIX-974's own bullet says 'the daily trickle uses', publishes silently. AFTER PR3: ~10x FR donation rows thro	
public.rebuild_entity_connections_lobbying (+ 8 further unscoped DELETEs across the same 11-arm family)	CLASS-7-EQUAL-BY-COINCIDENCE-PREDICATES	orange	CONFIRMED	10,431 lobbying edges (not 10,423), 100% evidence_source='external_relationships'. financial_relationships rows for lobbying_spend/gift/honorarium/owns_stock/owns_bond/property = 0 (exact count, not an EXISTS probe). external_relationships = 603,745 rows behind _external's 15-min statement_timeout. Realized precedent: cron.job_run_details jobid 22 runid 156 died at 6h00m on an FR `WITH agg` cancel	TODAY: 10,423 edges are one failed chunk away from deletion. rebuild_entity_connections() wraps each arm in `EXCEPTION WHEN OTHERS THEN RAISE WARNING ... RETURN NEXT` and CONTINUES, and _external carries a 15-min statement_timeout over a ~555k-row source - so a single _external timeout leaves every 	FIX-985
public.rebuild_entity_search_index (CROSS JOIN LATERAL amt, two occurrences)	CLASS-7-EQUAL-BY-COINCIDENCE-PREDICATES	yellow	CONFIRMED	37 entities / $13,177,827 confirmed exactly (35 'other' @ 679,195,200c + 2 'nonprofit' @ 638,587,500c, all rendering 0 with label 'donation'). entity_search_index total is 358,376 rows (claim said 358,227 — 0.04% drift), of which 226,640 are kind='financial'. For scale, the live arm covers 127,848 corporations holding $3.745T of contract+grant money, so the dead arm is 0.035% of that dollar volume	TODAY: 37 of 358,227 entity_search_index rows are searchable but display $0 while holding $13,177,827; the amount_label reads 'donation' for entities whose money is entirely grants. AFTER PR3: FEC floor removal does not touch this (USASpending-sourced), so the row count stays ~37 - but the defect is	FIX-985
pg_statistic_ext (0 rows database-wide) - affects all 24 routines carrying both from_type and relationship_type on public.financial_relationships	CLASS-7-EQUAL-BY-COINCIDENCE-PREDICATES	yellow	REFUTED	The 1.606× is exactly the from_type MCV frequency 0.6229 applied under independence (1,478,491 × 0.6229 = 920,952), and the 1,478,491 is exactly 0.394067 × 0.6212 × 10,267,543 / 1.70. Both quoted plans are the same node at 524,452.69 vs 530,165.87 total cost — a 1.09% difference, i.e. zero plan impact.	TODAY: a 1.606x planner divergence between two spellings of the same scan, and a 2.77-4.45x absolute underestimate on the donation->official slice - which is what decides bitmap-vs-index-only, parallel worker count and hash/sort spill on a box with 256 MB shared_buffers (playbook B2). AFTER PR3: the	
packages/data/src/scripts/canary-check.ts:266-283 (fetchRollupFreshness result destructure); supabase/migrations/20260806230000_fix972_donor_rollup_ch	CLASS-6-FRESHNESS-ONLY-MONITORING	red	CONFIRMED	CORRECTED, all re-derived from prod (node scripts/db-query.mjs --prod, 2026-08-07 04:51 UTC, before the 05:50 nightly window): READERS OF THE RATE SUBSTRATE — population and result. Mechanism grep over apps/ packages/ scripts/ (excl. node_modules, .test.): 2 hits, not 0.   - packages/data/src/scripts/donor-rollup-bulk.ts:184 — prints targets / slowest_chunk_seconds / elapsed_seconds; computes no q	TODAY: the arc's own case is reproducible in the current code. The ~9x per-FR-row regression between 07-31 and 08-06 (open FIX in docs/FIXES.md, red L) is visible in retained metadata — 07-31 slowest_chunk_seconds=749 vs 08-06 6546 at elapsed 11281 vs 11054 — and no detector reads either field. The 	FIX-978
packages/data/src/scripts/canary-check.ts:35-40 (ROLLUP_PIPELINES)	CLASS-6-FRESHNESS-ONLY-MONITORING	red	CONFIRMED	Prod, 2026-08-07 04:50:33 UTC. Corrections and additions, all independently derived: 1. NEW AND STRONGEST — THE ONE ENUMERATED ENTRY IS RIGHT NOW A FALSE POSITIVE, at the same site, from the same defect. `official_donor_totals` and `official_small_dollar_rollup` both carry max(updated_at) = 2026-08-07 02:29:26, and pipeline_state.donor_rollup_bulk_sweep = {"mode":"full","chunks":32,"targets":15316	TODAY: financial_entities.total_donated_cents/total_received is 16.8 days behind its source and renders on every donor and financial-entity page; entity_connections is 8.8 days behind and is what the graph renders; donor_party_rollup_mv (1,280,289 rows) is 9.8 days behind and drives the party-flow c	FIX-977
supabase/migrations/20260806010000_fix968_donor_rollup_backstop_and_cron_health.sql — check_cron_job_health(), missing_daily CTE	CLASS-6-FRESHNESS-ONLY-MONITORING	orange	REFUTED	Prod, re-derived 2026-08-07 via cron.job / cron.job_run_details (catalog reads only). COVERAGE (claim correct): 21 active jobs; the missing_daily predicate (split_part 3/4/5 all '*') is true for 5 — jobid 9 refresh-derived-mvs-daily, 11 rule-taggers-daily, 24 donor-rollup-refresh (now '0 9,12 * * *'), 27 vote-stats-refresh, 29 abuse-events-retention. The other 16 are exactly as listed. 23.8%. FIRI	TODAY: 16 of 21 jobs. The five monthly orphan-reconcilers (14, 15, 18, 19, 23) are the second line of defence for exactly the drift class this whole detector family exists for — if pg_cron silently drops their monthly firing, the reconciler that was supposed to repair the rollup is itself unrepaired	
packages/data/src/scripts/canary-check.ts:399-459 (writeMetaRow, pipeline='canary_check') and .github/workflows/sync-canary-check.yml	CLASS-6-FRESHNESS-ONLY-MONITORING	orange	CONFIRMED	All prod-derived at 2026-08-07 04:50:24 UTC. 1. PRESENCE RUN IS LONGER THAN CLAIMED; GAP CONFIRMED. canary_check rows in data_sync_log by UTC day: 2026-07-18 through 2026-08-05 = 19 consecutive days with >=1 row (07-25 and 08-01 have 2), 2026-08-06 = ZERO. Claim said 15 days; it is 19 (the 20-day window bound truncated it, so 19 is itself a floor). Last row 2026-08-05 07:30:38.972 UTC => 45.33h st	TODAY: coverage 0. The canary is the single scheduled process behind 6 of the 7 detectors in this population — when it does not run, ALL of check_cron_job_health, check_rollup_freshness, check_rebuild_autovacuum_status, check_sector_affinity_tag_staleness, nightly_cron presence and nightly_killed pr	FIX-980
.github/workflows/platform-snapshot.yml (schedule `*/10 * * * *`) and apps/civitics/app/dashboard/PlatformCostsSection.tsx:827-834	CLASS-6-FRESHNESS-ONLY-MONITORING	orange	REFUTED	Cadence facts replicate; conclusions do not. Prod, re-derived 2026-08-07 04:51:50 UTC via scripts/db-query.mjs --prod: - Scheduled GHA workflows: 7 (audit, crs-summaries, nightly, platform-snapshot, refresh-disposable-emails, sync-canary-check, usaspending-bulk). Matches. - platform_usage_snapshot rows in trailing 24h: 6 (vs 144 declared firings = 4.2%). Matches exactly. - Exact row count over ret	TODAY: the cost/egress monitor delivers ~6 samples/day instead of 144, and both its alert booleans require a human to open /dashboard. The workflow's own header budgets for '~5-15 min' drift; measured drift is ~4h between samples, a 24x miss that no detector reports because nothing measures the dete	
packages/data/src/pipelines/integrity-audit/index.ts:25-30 (CHECKS array)	CLASS-6-FRESHNESS-ONLY-MONITORING	yellow	CONFIRMED	CORRECTED, three points — net effect strengthens the finding. (a) POPULATION: 36, not 35. Derived by an independent mechanism (prod pg_class × pg_proc, relations written or REFRESHed by a `refresh_*`/`rebuild_*`/`reconcile_*` routine in public): 13 matviews (chord_donor_state_party_flows_mv, chord_donor_type_party_flows_mv, chord_industry_flows_mv, chord_subject_party_flows_mv, commons_active_thre	TODAY: 0 of 35. This is playbook E1 applied one-sided — base tables get invariant checks, and the rollups computed from them get nothing, which is the precise shape that let $2,079,909,441 of understatement sit behind a stable-looking official_donor_totals (D1/E1). The 6 donor-rollup arms get an equ	FIX-977
supabase/migrations/20260801000000_fix943_autovacuum_hot_path_tables.sql:237-251 (check_rebuild_autovacuum_status, WITH watched(relname) AS (VALUES ..	CLASS-6-FRESHNESS-ONLY-MONITORING	yellow	CONFIRMED	MECHANISM-COMPLETE ENUMERATION (prod pg_class + pg_stat_user_tables, 2026-08-07, read-only via scripts/db-query.mjs --prod). Population defined by the detector's OWN escalation predicate — vm_degraded fires on (relpages > 1000 AND pct_all_visible < 50.0) — so the covered population is every public relation with relpages > 1000, not "derived tables one can name". POPULATION: 20 relations (relkind r	TODAY: 9 relations watched, 8 large derived relations off the list, 0 currently degraded. The bound is that FIX-884 was exactly this failure on entity_connections — 0.9% all-visible, 34,534 heap fetches, 20.5s of a 22.1s query — on a table that only later got added to the list, and the list's own co	FIX-977
public.refresh_treemap_individuals_global:145-148 (live prosrc)	CLASS 5 — LYING TIMESTAMPS	orange	CONFIRMED	SITE (live prod, re-derived): public.refresh_treemap_individuals_global(), pg_proc.prosrc md5 17b19c2312628272a9e5a268b149507e (10,645 bytes, read 2026-08-06), line 147 `updated_at = NOW()` inside the per-chunk transaction (loop 97, chunk clock 113, cursor UPDATE 145-148, COMMIT 163, END LOOP 170). Source of record: supabase/migrations/20260806000000_fix965_resumable_treemap_global_refresh.sql:215	Today: cursor stamp understates true progress by up to one chunk = 59 s measured. The same procedure's own budget is 2,400 s over 64 chunks, and per playbook E8 it already blew that budget on an idle box after the FIX-952 indiv22 backfill (+1.27M donors). Chunk cost scales with donor density, so aft	FIX-981
public.small_dollar_rebuild_officials:15, public.sector_affinity_rebuild_officials:47, public.official_donor_totals.updated_at (DEFAULT now()) — all e	CLASS 5 — LYING TIMESTAMPS	orange	REFUTED	The 6,546 s figure is a pre-FIX-972 measurement (c_chunk_size=200). FIX-972 (migration 20260806230000, line 107) shipped 200 -> 50, so the current bound is ~1/4 of that. FIX-981 already carries the same caveat for its sibling treemap site.	Every official in the slowest chunk carries an `updated_at` up to 6,546 s (1h49m) earlier than its true write — the exact FIX-972 magnitude, on three columns FIX-972 did not fix. Re-deriving for the shipped quantum (FIX-972 cut c_chunk_size 200→50, migration 20260806230000 line 107), expected worst 	FIX-981
